"id","url","first_paragraph","createdAt","updatedAt"
60,"https://www.birminghammail.co.uk/news/midlands-news/emotional-john-eustace-lays-flowers-25741890","The Solihull-born former player and head coach arrived at the scene to lay flowers","2022-12-13 16:33:54.901+00","2022-12-13 16:33:54.901+00"
61,"https://metro.co.uk/2022/12/11/when-are-the-first-and-last-trains-from-london-to-gatwick-and-heathrow-17917676/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:54.944+00","2022-12-13 16:33:54.944+00"
62,"https://metro.co.uk/2022/12/11/london-girl-with-incurable-cancer-recovers-after-pioneering-treatment-17916774/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:54.976+00","2022-12-13 16:33:54.976+00"
63,"https://metro.co.uk/2022/12/12/new-years-eve-the-best-things-to-do-in-london-17918489/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:55.012+00","2022-12-13 16:33:55.012+00"
64,"https://metro.co.uk/2022/12/13/jewellery-store-manager-charged-over-fatal-crash-on-tracks-at-park-royal-17928847/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:55.072+00","2022-12-13 16:33:55.072+00"
65,"https://www.birminghammail.co.uk/news/midlands-news/babbs-mill-lake-live-community-25737399","Rescuers smashed ice with bare hands to save the young boys. The community awaits news today as fourth boy, six, fight for life","2022-12-13 16:33:55.128+00","2022-12-13 16:33:55.128+00"
66,"https://metro.co.uk/2022/12/13/has-the-river-thames-ever-frozen-over-17927810/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:55.161+00","2022-12-13 16:33:55.161+00"
67,"https://metro.co.uk/2022/12/11/london-football-fan-jailed-for-attacking-stewards-and-police-at-england-game-17917066/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:55.191+00","2022-12-13 16:33:55.191+00"
68,"https://www.birminghammail.co.uk/news/showbiz-tv/bbc-strictly-come-dancing-scrapped-25743815","Strictly was rescheduled to Monday night, with Will Mellor the latest to leave the show, after the programme was bumped from Saturday due to England vs France's World Cup quarter final.","2022-12-13 16:33:55.248+00","2022-12-13 16:33:55.248+00"
69,"https://www.birminghammail.co.uk/news/midlands-news/police-raid-cannabis-factory-worth-25741695","No arrests have been made and investigations are ongoing.","2022-12-13 16:33:55.296+00","2022-12-13 16:33:55.296+00"
70,"https://www.expressandstar.com/news/news/local-hubs/birmingham/","Subscribe to one or all notification sources from this one place.","2022-12-13 16:33:55.334+00","2022-12-13 16:33:55.334+00"
71,"https://www.birminghammail.co.uk/news/showbiz-tv/dua-lipa-dating-household-name-25743482","The One Kiss singer is said to have been ""strongly pursued"" by Jack.","2022-12-13 16:33:55.4+00","2022-12-13 16:33:55.4+00"
72,"https://www.birminghammail.co.uk/news/showbiz-tv/alison-hammond-gutted-martin-lewis-25743269","Mr Lewis was appearing via video link on ITV This Morning, as he fielded calls from viewers.","2022-12-13 16:33:55.469+00","2022-12-13 16:33:55.469+00"
73,"https://www.expressandstar.com/news/news/local-hubs/birmingham/archive/","Subscribe to one or all notification sources from this one place.","2022-12-13 16:33:55.514+00","2022-12-13 16:33:55.514+00"
74,"https://www.birminghammail.co.uk/news/showbiz-tv/bbc-strictly-come-dancing-fans-25742887","Viewers are not happy after the confirmation of each of the finalists' three final dances was announced on Tuesday.","2022-12-13 16:33:55.582+00","2022-12-13 16:33:55.582+00"
75,"https://www.birminghammail.co.uk/news/midlands-news/25000-uk-households-830000-energy-25743627","Utilita among them, being forced to pay 25,000 punters £830k in compensation.","2022-12-13 16:33:55.634+00","2022-12-13 16:33:55.634+00"
76,"https://www.birminghammail.co.uk/news/showbiz-tv/stephen-bear-found-guilty-sharing-25743885","The 32-year-old defendant and 27-year-old Ms Harrison were recorded having sex on CCTV cameras in Bear's garden in Loughton","2022-12-13 16:33:55.674+00","2022-12-13 16:33:55.674+00"
77,"https://www.birminghammail.co.uk/news/showbiz-tv/dan-walker-urges-bbc-strictly-25743074","The Channel 5 star tweeted: “Can people please lay off @ShirleyBallas? It’s ok to disagree but some of the bile & hatred on here is horrible.","2022-12-13 16:33:55.753+00","2022-12-13 16:33:55.753+00"
78,"https://metro.co.uk/2022/12/11/london-sex-workers-frightened-police-will-abuse-increased-powers-against-them-17881921/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:55.815+00","2022-12-13 16:33:55.815+00"
79,"https://metro.co.uk/2022/12/11/london-man-dies-after-being-found-outside-hospital-with-stab-wounds-17918549/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:55.86+00","2022-12-13 16:33:55.86+00"
80,"https://metro.co.uk/2022/12/13/nikki-tibbles-why-i-left-london-for-300-year-old-west-sussex-cottage-17923472/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:55.907+00","2022-12-13 16:33:55.907+00"
81,"https://metro.co.uk/2022/12/12/kate-gives-look-at-festive-special-that-will-honour-queen-17920412/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:55.966+00","2022-12-13 16:33:55.966+00"
82,"https://www.bbc.co.uk/news/england","One victim is named locally as Jack Johnson, 10, as the Solihull community mourns their loss.","2022-12-13 16:33:56.535+00","2022-12-13 16:33:56.535+00"
83,"https://www.bbc.co.uk/news/uk-england-merseyside-63960669","Hundreds of new bungalows and care units are set to be built on the site of Liverpool's former training ground.","2022-12-13 16:33:56.999+00","2022-12-13 16:33:56.999+00"
84,"https://www.bbc.co.uk/news/uk-england-merseyside-63963139","Southport Pier has closed ""until further notice"" after extreme cold weather damaged the decking boards.","2022-12-13 16:33:57.04+00","2022-12-13 16:33:57.04+00"
85,"https://www.bbc.co.uk/news/uk-england-merseyside-63956080","Liverpool City Council is turning fly-tipping sites into mocked-up crime scenes in a new crackdown in the city.","2022-12-13 16:33:57.079+00","2022-12-13 16:33:57.079+00"
86,"https://www.bbc.co.uk/news/uk-england-lancashire-63951981","North West Ambulance Service has urgently appealed for people to only call 999 for life-threatening injuries as crews were ""extremely busy"".","2022-12-13 16:33:57.174+00","2022-12-13 16:33:57.174+00"
87,"https://www.bbc.co.uk/news/uk-england-merseyside-63950456","A baby living in ""overcrowded circumstances"" during lockdown died after the carrycot he was in was put in a shed, a judge has concluded.","2022-12-13 16:33:57.205+00","2022-12-13 16:33:57.205+00"
88,"https://www.bbc.co.uk/news/uk-england-merseyside-63960284","A 13-year-old boy who died after he was struck by a car near a cinema ""was a loving and caring boy"", his family has said.","2022-12-13 16:33:57.251+00","2022-12-13 16:33:57.251+00"
89,"https://www.bbc.co.uk/news/uk-england-merseyside-63941363","A mother has told the lifeboat crew who saved her daughter she would ""forever grateful"" at an emotional reunion.","2022-12-13 16:33:57.305+00","2022-12-13 16:33:57.305+00"
90,"https://www.bbc.co.uk/news/uk-england-merseyside-63919131","Victims of widespread historic sexual and physical abuse at a council-run school have said police let them down by missing a crucial chance to stop it.","2022-12-13 16:33:57.351+00","2022-12-13 16:33:57.351+00"
91,"https://www.bbc.co.uk/news/live/world-us-canada-63953033","Reporting and analysis from Samira Hussain at the US Capitol, Natalie Sherman in New York, and Joe Tidy in London ","2022-12-13 16:33:57.599+00","2022-12-13 16:33:57.599+00"
92,"https://www.bbc.co.uk/news/uk-england-merseyside-63950256","Police investigating reports of youngsters playing on a frozen lake have urged parents to speak to their children about the dangers of ice.","2022-12-13 16:33:57.704+00","2022-12-13 16:33:57.704+00"
93,"https://www.bbc.co.uk/news/live/uk-63951125","And we'll keep you signed in.","2022-12-13 16:33:57.967+00","2022-12-13 16:33:57.967+00"
94,"https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-63958201","A light aircraft crashed in a field in Fife after its cockpit burst open mid-flight, according to an investigation into the accident. ","2022-12-13 16:33:58+00","2022-12-13 16:33:58+00"
95,"https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-62382613","A light aircraft crash-landed into a field in Fife after witnesses reported it doing a somersault before hitting the ground. ","2022-12-13 16:33:58.037+00","2022-12-13 16:33:58.037+00"
96,"https://www.bbc.co.uk/news/uk-scotland-63860864","A selection of your pictures of Scotland sent in between 2-9 December.","2022-12-13 16:33:58.068+00","2022-12-13 16:33:58.068+00"
97,"https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-63944082","A man is to attempt one of the world's most dangerous rows in the Antarctic in honour of the ""forgotten hero"" of Sir Ernest Shackleton's Endurance voyage - just months after open heart surgery.","2022-12-13 16:33:58.114+00","2022-12-13 16:33:58.114+00"
98,"https://www.bbc.co.uk/news/uk-scotland-63942676","The latest round of rail strikes will severely reduce Scotland's train network until Sunday. ","2022-12-13 16:33:58.155+00","2022-12-13 16:33:58.155+00"
99,"https://www.bbc.co.uk/news/uk-england-merseyside-63951331","A man who was abused at a council-run school has said police let him and other boys down by missing a crucial chance to stop it.","2022-12-13 16:33:58.231+00","2022-12-13 16:33:58.231+00"
100,"https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-63920657","The Scottish government has signalled its support for the expansion of the Edinburgh tram network, by prioritising the project in a new national transport blueprint.","2022-12-13 16:33:58.254+00","2022-12-13 16:33:58.254+00"
